Country,Project,Expedition,Location,Date,Dive,Site,First Observer,Second Observer
Israel,FunDiversity,Eilat Transects October 2020,IUI,15/10/2020,1,1,Tal Perevolotsky,Sarah Ohayon
,,,,,1,2,Shahar Chaikin,Hava Wandel
