Country,Project,Expedition,Location,Date,Dive,Site,First Observer,Second Observer
Israel,FunDiversity,Eilat Transects October 2020,Dekel,15/10/2020,1,1,Hezi Buba,Tal Gavriely
,,,,,1,2,Shevy Rothman,Yamit Romano
,,,,,1,3,Yoni Belmaker,Rei Diga
,,,,,2,1,Shahar Chaikin,Rei Diga
