Country,Project,Expedition,Location,Date,Dive,Site,First Observer,Second Observer
Israel,FunDiversity,Eilat Transects October 2020,Katza,13/10/2020,1,1,Mai Lazarus,Tal Gavriely
,,,,,1,2,Yoni Belmaker,Shahar Chaikin
,,,,,2,3,Mai Lazarus,Tal Gavriely
,,,,,2,4,Yoni Belmaker,Shahar Chaikin
