Country,Project,Expedition,Location,Date,Dive,Site,First Observer,Second Observer
Israel,FunDiversity,Eilat Transects October 2020,Clubs,14/10/2020,2,1,Mai Lazarus,Tal Perevolotsky
,,,,,2,2,Shahar Chaikin,Shira Salingre
,,,,,2,3,Sarah Ohayon,Yamit Romano
