Country,Project,Expedition,Location,Date,Knoll,First Observer,Second Observer
Israel,EcoCamp,EcoCamp October 2020,,15/10/2020,Humpty,Mai Lazarus,Shira Salingre
,,,,,Dumpty,Mai Lazarus,Shira Salingre
